Name,Peak,Average,Peak Time
V_VAL_V3P3S_MCSI_CAM2_0.01_R9C26,3.338085,3.311693,94.436000
I_VAL_V3P3S_MCSI_CAM2_0.01_R9C26,0.268231,0.019476,147.801000
V_VAL_V1P8S_MCSI_CAM1_0.01_R9B9,1.796078,1.789595,59.708000
I_VAL_V1P8S_MCSI_CAM1_0.01_R9B9,0.006233,-0.002406,81.667000
V_VAL_V3P3S_PCIE_X4_SLOT_0.005_R7N17,3.374654,3.355414,74.524000
I_VAL_V3P3S_PCIE_X4_SLOT_0.005_R7N17,0.014563,0.001047,18.332000
V_VAL_V3P3A_PCIE_X8_SLOT_0.01_R6N3,3.338588,3.311876,106.807000
I_VAL_V3P3A_PCIE_X8_SLOT_0.01_R6N3,0.098085,0.000489,178.825000
V_VAL_V3P3S_PCIE_X8_SLOT_0.005_R6N2,3.337455,3.311755,49.720000
I_VAL_V3P3S_PCIE_X8_SLOT_0.005_R6N2,0.146169,0.001094,128.377000
V_VAL_V12S_PCIE_X8_SLOT_0.002_R7B33,11.992703,11.984652,2.188000
I_VAL_V12S_PCIE_X8_SLOT_0.002_R7B33,0.117704,-0.002022,130.576000
V_VAL_V3P3A_GEN5_SSD_0.005_R8P23,3.339147,3.312347,15.565000
I_VAL_V3P3A_GEN5_SSD_0.005_R8P23,0.080897,0.003186,172.105000
V_VAL_V1P8A_GEN5_SSD_0.01_R8P13,1.798139,1.791211,149.427000
I_VAL_V1P8A_GEN5_SSD_0.01_R8P13,0.007558,-0.001554,122.518000
V_VAL_V3P3A_GEN4_SSD_0.005_R9E17,3.337455,3.311638,26.340000
I_VAL_V3P3A_GEN4_SSD_0.005_R9E17,1.267350,0.036268,143.345000
V_VAL_V1P8A_GEN4_SSD_0.01_R8E3,1.798876,1.791334,62.397000
I_VAL_V1P8A_GEN4_SSD_0.01_R8E3,0.012945,0.002460,128.180000
V_VAL_V3P3DX_EDP_0.01_R5A16,3.330476,3.302794,65.834000
I_VAL_V3P3DX_EDP_0.01_R5A16,0.536056,0.293596,79.359000
V_VAL_V3P3S_EDP_AUXPWR_0.01_R5A24,3.338353,3.311811,65.834000
I_VAL_V3P3S_EDP_AUXPWR_0.01_R5A24,0.020110,0.001444,99.316000
V_VAL_VCC_EDP_BKLT_0.01_R5A13,13.075696,13.025946,149.435000
I_VAL_VCC_EDP_BKLT_0.01_R5A13,0.143026,0.117189,91.547000
V_VAL_V3P3A_VSYS_PD_0.01_R9U1,3.339206,3.312485,31.744000
I_VAL_V3P3A_VSYS_PD_0.01_R9U1,0.041263,0.007138,16.860000
V_VAL_V3P3DX_AUDIO_JA_0.01_R5V21,3.340788,3.312624,146.043000
I_VAL_V3P3DX_AUDIO_JA_0.01_R5V21,0.007964,0.001555,166.055000
V_VAL_V1P8DX_AUDIO_CODEC_ADVDD2_0.01_R5W7,1.797905,1.791549,59.708000
I_VAL_V1P8DX_AUDIO_CODEC_ADVDD2_0.01_R5W7,0.010953,-0.001613,40.278000
V_VAL_V1P8DX_AUDIO_VDD_JA_JE_0.01_R4H17,1.797917,1.791555,59.708000
I_VAL_V1P8DX_AUDIO_VDD_JA_JE_0.01_R4H17,0.009595,0.002313,80.107000
V_VAL_V1P8DX_AUDIO_CODEC_DVDD_0.022_R5H28,1.798055,1.791615,59.708000
I_VAL_V1P8DX_AUDIO_CODEC_DVDD_0.022_R5H28,0.006465,-0.000968,127.532000
V_VAL_V5DX_AUDIO_VDD_JH_0.022_R5W14,5.170396,5.128772,69.501000
I_VAL_V5DX_AUDIO_VDD_JH_0.022_R5W14,0.003405,-0.000143,98.720000
V_VAL_V5DX_DMIC_JH_0.01_R5W12,5.170272,5.128700,69.501000
I_VAL_V5DX_DMIC_JH_0.01_R5W12,0.006767,-0.000359,143.543000
V_VAL_VBATA_AUDIO_JA_0.01_R4V31,13.078166,13.025908,66.281000
