Name,Peak,Average,Peak Time
V_VAL_V12S_PCIE_X8_SLOT_0.002_R7B33,11.991766,11.984596,117.607000
I_VAL_V12S_PCIE_X8_SLOT_0.002_R7B33,0.121474,-0.002027,29.774000
V_VAL_V3P3A_GEN5_SSD_0.005_R8P23,3.339030,3.312167,8.300000
I_VAL_V3P3A_GEN5_SSD_0.005_R8P23,0.085908,0.003436,164.403000
V_VAL_V1P8A_GEN5_SSD_0.01_R8P13,1.797905,1.791057,136.727000
I_VAL_V1P8A_GEN5_SSD_0.01_R8P13,0.007716,-0.001784,177.321000
V_VAL_V3P3A_GEN4_SSD_0.005_R9E17,3.337338,3.311084,8.300000
I_VAL_V3P3A_GEN4_SSD_0.005_R9E17,1.284935,0.055042,23.533000
V_VAL_V1P8A_GEN4_SSD_0.01_R8E3,1.797821,1.791143,136.727000
I_VAL_V1P8A_GEN4_SSD_0.01_R8E3,0.012710,0.002463,7.778000
V_VAL_V3P3DX_EDP_0.01_R5A16,3.329538,3.302622,32.369000
I_VAL_V3P3DX_EDP_0.01_R5A16,0.530314,0.293296,93.225000
V_VAL_V3P3S_EDP_AUXPWR_0.01_R5A24,3.337650,3.311596,103.875000
I_VAL_V3P3S_EDP_AUXPWR_0.01_R5A24,0.022856,0.001694,128.258000
V_VAL_VCC_EDP_BKLT_0.01_R5A13,13.134425,13.025705,80.246000
I_VAL_VCC_EDP_BKLT_0.01_R5A13,0.142475,0.117153,164.851000
V_VAL_V3P3A_VSYS_PD_0.01_R9U1,3.339206,3.312200,130.080000
I_VAL_V3P3A_VSYS_PD_0.01_R9U1,0.044013,0.007143,124.632000
V_VAL_V3P3DX_AUDIO_JA_0.01_R5V21,3.340202,3.312462,6.562000
I_VAL_V3P3DX_AUDIO_JA_0.01_R5V21,0.007807,0.001641,41.029000
V_VAL_V1P8DX_AUDIO_CODEC_ADVDD2_0.01_R5W7,1.799077,1.791394,134.431000
I_VAL_V1P8DX_AUDIO_CODEC_ADVDD2_0.01_R5W7,0.010479,-0.001839,105.718000
V_VAL_V1P8DX_AUDIO_VDD_JA_JE_0.01_R4H17,1.798855,1.791393,134.431000
I_VAL_V1P8DX_AUDIO_VDD_JA_JE_0.01_R4H17,0.009595,0.002356,56.322000
V_VAL_V1P8DX_AUDIO_CODEC_DVDD_0.022_R5H28,1.798993,1.791423,134.431000
I_VAL_V1P8DX_AUDIO_CODEC_DVDD_0.022_R5H28,0.007039,-0.000962,101.858000
V_VAL_V5DX_AUDIO_VDD_JH_0.022_R5W14,5.171099,5.128653,121.550000
I_VAL_V5DX_AUDIO_VDD_JH_0.022_R5W14,0.003262,-0.000244,124.259000
V_VAL_V5DX_DMIC_JH_0.01_R5W12,5.171328,5.128656,121.550000
I_VAL_V5DX_DMIC_JH_0.01_R5W12,0.006376,-0.000513,12.979000
V_VAL_VBATA_AUDIO_JA_0.01_R4V31,13.126000,13.025552,80.246000
I_VAL_VBATA_AUDIO_JA_0.01_R4V31,0.006794,-0.000573,91.269000
V_VAL_V5DX_AUDIO_CODEC_PVDD_0.01_R5J19,5.171020,5.128645,121.550000
I_VAL_V5DX_AUDIO_CODEC_PVDD_0.01_R5J19,0.111897,-0.000706,149.476000
V_NC3,0.000802,0.000071,80.245000
I_NC3,0.101877,0.101877,0.000000
V_NC4,0.000769,0.000059,80.234000
I_NC4,0.101847,-0.009626,2.479000
V_VAL_VBATA_0.002_R3B5,13.143235,13.029957,80.246000
I_VAL_VBATA_0.002_R3B5,3.269670,0.569733,93.104000
